Date,Open,High,Low,Close,Volume
2023-02-27,45268.93,45467.63,44821.94,44940.03,1353008
2023-02-28,44941.28,45129.64,44313.64,44780.07,3578072
2023-03-01,44779.14,45161.25,44576.56,44631.03,897661
2023-03-02,44631.8,44795.95,44223.67,44300.61,1383365
2023-03-03,44301.34,44791.11,44301.34,44440.48,1344257
2023-03-06,44439.73,45044.71,44287.18,44337.44,1051917
2023-03-07,44337.43,44495.76,43274.29,43391.02,2218686
2023-03-08,43390.51,43696.08,42486.29,43161.43,3603888
2023-03-09,43161.79,43236.93,42441.51,42816.43,2061310
2023-03-10,42819.46,43092.52,42423.14,43077.69,1377924
2023-03-13,43077.48,43519.71,39943.67,41797.81,3483882
2023-03-14,41799.97,42278.94,41477.41,41807.29,2094778
2023-03-16,41810.2,41950.18,40791.29,40852.89,3389656
2023-03-17,40848.58,41755.46,40744.74,40771.24,9315096
2023-03-20,40773.88,41445.57,39749.37,41343.62,2573609
2023-03-21,41341.88,42354.55,41341.88,42150.58,1953281
2023-03-22,42150.84,42658.97,41839.46,41962.45,2205173
2023-03-23,41960.95,42906.16,41855.8,42906.06,1715071
2023-03-24,42907.77,43037.26,41811.1,41818.92,1838603
2023-03-27,41817.77,42430.45,41817.77,42096.72,988047
2023-03-28,42095.68,42681.94,42095.68,42119.85,1534858
2023-03-29,42119.51,42583.83,42119.51,42333.82,1153698
2023-03-30,42334.15,42411.0,41345.55,41603.82,2544106
2023-03-31,41604.46,42505.88,41529.35,42318.34,1858781
2023-04-03,42318.89,43059.73,42258.31,42991.44,1574067
2023-04-04,42991.61,43915.51,42990.97,43666.52,1690737
2023-04-05,43666.92,44382.66,43666.45,43878.66,1997512
2023-04-06,43878.06,44471.63,43832.04,44217.85,1900309
2023-04-11,44217.78,44547.91,44160.68,44408.12,1401792
2023-04-12,44408.72,44466.58,43247.47,43375.43,1850128
2023-04-13,43375.73,43825.45,42452.88,42687.24,2341769
2023-04-14,42687.84,43414.96,42686.19,43285.23,1453956
2023-04-17,43284.58,43899.56,43218.26,43827.04,1482743
2023-04-18,43826.26,44218.8,43655.42,43751.6,1036643
2023-04-19,43754.29,43798.59,43079.64,43263.82,1448752
2023-04-20,43264.0,43588.38,43185.64,43538.96,1005221
2023-04-21,43539.45,44100.87,43353.55,44100.87,1486069
2023-04-24,44101.65,44129.2,43470.33,43666.91,1567199
2023-04-25,43666.83,43666.83,43236.57,43476.92,1851298
2023-04-26,43477.15,43768.61,43211.11,43367.52,1270264
2023-04-27,43366.71,44830.53,43320.28,44671.82,2728968
2023-04-28,44671.17,44990.76,44587.49,44822.21,2143934
