model,series,alpha,n_obs,n_violations,violation_rate,expected_rate,kupiec_stat,kupiec_p,kupiec_pass,christoffersen_stat,christoffersen_p,christoffersen_pass,basel_tl,last250_violations,as_z2,as_p,as_pass
TimesFM-2.5,BUX_ret,0.010000,1991,25,0.012557,0.010000,1.718358,0.189905,True,5.993993,0.049937,False,Green,4,,,
TimesFM-2.5,BUX_ret,0.025000,1991,61,0.030638,0.025000,5.513850,0.018866,False,14.677067,0.000650,False,Green,8,-0.374919,0.023000,False
TimesFM-2.5,BUX_ret,0.050000,1991,103,0.051733,0.050000,10.690921,0.001077,False,22.019054,0.000017,False,Green,13,,,
TimesFM-2.5,EURHUF_ret,0.010000,2083,24,0.011522,0.010000,0.946951,0.330497,True,2.118124,0.346781,True,Green,1,,,
TimesFM-2.5,EURHUF_ret,0.025000,2083,53,0.025444,0.025000,2.700443,0.100320,True,9.034561,0.010919,False,Green,3,-0.109412,0.247000,True
TimesFM-2.5,EURHUF_ret,0.050000,2083,103,0.049448,0.050000,10.579832,0.001143,False,13.332911,0.001273,False,Green,7,,,
TimesFM-2.5,SOFIX_ret,0.010000,1969,24,0.012189,0.010000,1.373214,0.241260,True,1.377647,0.502167,True,Green,2,,,
TimesFM-2.5,SOFIX_ret,0.025000,1969,50,0.025394,0.025000,2.544232,0.110698,True,4.367609,0.112612,True,Green,7,-0.153816,0.201000,True
TimesFM-2.5,SOFIX_ret,0.050000,1969,91,0.046216,0.050000,9.943560,0.001614,False,11.662748,0.002934,False,Green,9,,,
TimesFM-2.5,USDBGN_ret,0.010000,2081,27,0.012975,0.010000,2.243109,0.134211,True,3.079124,0.214475,True,Yellow,7,,,
TimesFM-2.5,USDBGN_ret,0.025000,2081,54,0.025949,0.025000,2.810291,0.093661,True,6.268109,0.043541,False,Green,9,-0.112235,0.219000,True
TimesFM-2.5,USDBGN_ret,0.050000,2081,114,0.054781,0.050000,12.667566,0.000372,False,12.775572,0.001682,False,Yellow,18,,,
Moirai-2.0,BET_ret,0.010000,1994,30,0.015045,0.010000,5.042551,0.024732,False,5.052777,0.079947,True,Green,4,,,
Moirai-2.0,BET_ret,0.025000,1994,92,0.046138,0.025000,34.028678,0.000000,False,35.671008,0.000000,False,Yellow,13,-0.788677,0.000000,False
Moirai-2.0,BET_ret,0.050000,1994,166,0.083250,0.050000,56.038353,0.000000,False,56.169427,0.000000,False,Yellow,21,,,
Moirai-2.0,EURRON_ret,0.010000,2081,84,0.040365,0.010000,111.691111,0.000000,False,114.238635,0.000000,False,Red,15,,,
Moirai-2.0,EURRON_ret,0.025000,2081,158,0.075925,0.025000,152.719683,0.000000,False,158.763333,0.000000,False,Red,23,-9.398814,0.000000,False
Moirai-2.0,EURRON_ret,0.050000,2081,229,0.110043,0.050000,142.954947,0.000000,False,151.813949,0.000000,False,Red,29,,,
Moirai-2.0,WIG20_ret,0.010000,1997,24,0.012018,0.010000,1.254125,0.262766,True,5.833849,0.054100,True,Yellow,5,,,
